Date,Weekday,Holiday Name,Holiday Type,Where
Jan-01,Sunday,New Year's Day,Public Holiday,Indonesia
Jan-28,Saturday,Chinese Lunar New Year's Day,Public Holiday,Indonesia
Feb-24,Friday,Maha Shivaratri,Hindu Holiday,Indonesia
Mar-13,Monday,Holi,Hindu Holiday,Indonesia
Mar-20,Monday,March equinox,Season,Indonesia
Mar-28,Tuesday,Bali's Day of Silence and Hindu New Year,Public Holiday,Indonesia
Apr-14,Friday,Good Friday,Public Holiday,Indonesia
Apr-16,Sunday,Easter Sunday,Observance,Indonesia
Apr-24,Monday,Ascension of the Prophet Muhammad,Public Holiday,Indonesia
May-01,Monday,International Labor Day,Public Holiday,Indonesia
May-11,Thursday,Waisak Day (Buddha's Anniversary),Public Holiday,Indonesia
May-25,Thursday,Ascension Day of Jesus Christ,Public Holiday,Indonesia
Jun-01,Thursday,Pancasila Day,National holiday,Indonesia
Jun-21,Wednesday,June Solstice,Season,Indonesia
Jun-26,Monday,Idul Fitri Day 1,Public Holiday,Indonesia
Jun-27,Tuesday,Idul Fitri Day 2,Public Holiday,Indonesia
Aug-07,Monday,Raksha Bandhan,Hindu Holiday,Indonesia
Aug-14,Monday,Janmashtami,Hindu Holiday,Indonesia
Aug-17,Thursday,Indonesian Independence Day,Public Holiday,Indonesia
Aug-25,Friday,Ganesh Chaturthi,Hindu Holiday,Indonesia
Sep-01,Friday,Muslim Day of Sacrifice (Idul Adha),Public Holiday,Indonesia
Sep-21,Thursday,Navaratri,Hindu Holiday,Indonesia
Sep-21,Thursday,Muharram/Islamic New Year,Public Holiday,Indonesia
Sep-22,Friday,September equinox,Season,Indonesia
Sep-30,Saturday,Dussehra,Hindu Holiday,Indonesia
Oct-19,Thursday,Diwali/Deepavali,Observance,Indonesia
Dec-01,Friday,The Prophet Muhammad's Birthday,Public Holiday,Indonesia
Dec-21,Thursday,December Solstice,Season,Indonesia
Dec-24,Sunday,Christmas Eve,Observance,Indonesia
Dec-25,Monday,Christmas Day,Public Holiday,Indonesia
Dec-31,Sunday,New Year's Eve,Observance,Indonesia
Jan-01,Sunday,Last day of Hanukkah,Jewish holiday,UK
Jan-01,Sunday,New Year's Day,Bank holiday,UK
Jan-02,Monday,New Year's Day observed,Bank holiday,UK
Jan-02,Monday,New Year's Day Holiday,Bank holiday,UK
Jan-03,Tuesday,2nd January (substitute day),Local holiday,UK
Jan-06,Friday,Epiphany,Christian,UK
Jan-07,Saturday,Orthodox Christmas Day,Orthodox,UK
Jan-14,Saturday,Orthodox New Year,Orthodox,UK
Jan-25,Wednesday,Burns Night,Local observance,UK
Jan-28,Saturday,Chinese New Year,Observance,UK
Feb-11,Saturday,Tu B'Shevat (Arbor Day),Jewish holiday,UK
Feb-14,Tuesday,Valentine's Day,Observance,UK
Feb-24,Friday,Maha Shivaratri,Hindu Holiday,UK
Feb-28,Tuesday,Carnival/Shrove Tuesday,Christian,UK
Mar-01,Wednesday,St. David's Day,Observance,UK
Mar-01,Wednesday,Carnival/Ash Wednesday,Christian,UK
Mar-12,Sunday,Holi,Hindu Holiday,UK
Mar-12,Sunday,Purim,Jewish holiday,UK
Mar-17,Friday,St Patrick's Day,Local holiday,UK
